pattern_id	nr_of_msds_in_pattern	pattern	freq	examples
P_hrLex_Npm_14	14	Npmsn: ~Ø, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~Ø, Npmsl: ~u, Npmsi: ~om, Npmpn: ~i, Npmpg: ~a, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~i, Npmpl: ~ima, Npmpi: ~ima	2102	Zajc~~~Npm, Grandavec~~~Npm, Azuc~~~Npm, Fernbah~~~Npm, Bogve~~~Npm, Erjauc~~~Npm, Frkanec~~~Npm, Rruku~~~Npm, Lorinc~~~Npm, Bažec~~~Npm
P_hrLex_Npm_15	14	Npmsn: ~a, Npmsg: ~e, Npmsd: ~oj, Npmsay: ~u, Npmsv: ~a, Npmsl: ~oj, Npmsi: ~om, Npmpn: ~e, Npmpg: ~ih, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~e, Npmpl: ~ima, Npmpi: ~ima	218	Vladova~~~Npm, Milenkovska~~~Npm, Cvetkovska~~~Npm, Adžigogovska~~~Npm, Borissova~~~Npm, Ćamilova~~~Npm, Savinovska~~~Npm, Arnaudovska~~~Npm, Sulejmanova~~~Npm, Taškovska~~~Npm
P_hrLex_Npm_16	14	Npmsn: ~i, Npmsg: ~og, Npmsd: ~om|~ome, Npmsay: ~og, Npmsv: ~i, Npmsl: ~om|~ome, Npmsi: ~im|~ime, Npmpn: ~i, Npmpg: ~ih, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~i, Npmpl: ~ima, Npmpi: ~ima	1422	Podupski~~~Npm, Dobrožanski~~~Npm, Andrijevski~~~Npm, Cikarski~~~Npm, Trnski~~~Npm, Bešenski~~~Npm, Šidlovski~~~Npm, Živocki~~~Npm, Carevski~~~Npm, Danevski~~~Npm
P_hrLex_Npm_17	7	Npmsn: ~Ø, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~Ø, Npmsl: ~u, Npmsi: ~om	130	Terangi~~~Npm, Džon~~~Npm, Aklilu~~~Npm, Denic~~~Npm, Andrew~~~Npm, Dag~~~Npm, Djon~~~Npm, Noc~~~Npm, Jianjing~~~Npm, Alexei~~~Npm
P_hrLex_Ncm_3	14	Ncmsn: ~Ø, Ncmsg: ~a, Ncmsd: ~u, Ncmsan: ~Ø, Ncmsv: ~u, Ncmsl: ~u, Ncmsi: ~em, Ncmpn: ~i, Ncmpg: ~a|~â, Ncmpd: ~ima, Ncmpa: ~e, Ncmpv: ~i, Ncmpl: ~ima, Ncmpi: ~ima	651	radiouređaj~~~Ncm, hipermedij~~~Ncm, antependij~~~Ncm, fotofiniš~~~Ncm, vodokotlić~~~Ncm, buhač~~~Ncm, fejsić~~~Ncm, glavić~~~Ncm, pokoj~~~Ncm, micelij~~~Ncm
P_hrLex_Ag_3	43	Agpmsny: ~i, Agpmsgy: ~og|~oga, Agpmsdy: ~om|~ome|~omu, Agpmsayn: ~i, Agpmsayy: ~og|~oga, Agpmsvy: ~i, Agpmsly: ~om|~ome|~omu, Agpmsiy: ~im, Agpmpny: ~i, Agpmpgy: ~ih, Agpmpdy: ~im|~ima, Agpmpay: ~e, Agpmpvy: ~i, Agpmply: ~im|~ima, Agpmpiy: ~im|~ima, Agpfsny: ~a, Agpfsgy: ~o, Agpfsdy: ~oj, Agpfsay: ~u, Agpfsvy: ~a, Agpfsly: ~oj, Agpfsiy: ~om, Agpfpny: ~e, Agpfpgy: ~ih, Agpfpdy: ~im|~ima, Agpfpay: ~e, Agpfpvy: ~e, Agpfply: ~im|~ima, Agpfpiy: ~im|~ima, Agpnsny: ~o, Agpnsgy: ~og|~oga, Agpnsdy: ~om|~ome|~omu, Agpnsay: ~o, Agpnsvy: ~o, Agpnsly: ~om|~omu, Agpnsiy: ~im, Agpnpny: ~a, Agpnpgy: ~ih, Agpnpdy: ~im|~ima, Agpnpay: ~a, Agpnpvy: ~a, Agpnply: ~im|~ima, Agpnpiy: ~im|~ima	2391	saracenski~~~Ag, grafički~~~Ag, anorganski~~~Ag, esejski~~~Ag, žicarski~~~Ag, budistički~~~Ag, eocenski~~~Ag, fakultetski~~~Ag, podrumarski~~~Ag, malteški~~~Ag
P_hrLex_Npm_18	7	Npmsn: ~e, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~e, Npmsl: ~u, Npmsi: ~om	148	Sejdije~~~Npm, Dobrivoje~~~Npm, Aleksije~~~Npm, Dimitre~~~Npm, Arsenije~~~Npm, Darie~~~Npm, Dionizije~~~Npm, Nicolae~~~Npm, Inočente~~~Npm, Alvise~~~Npm
P_hrLex_Npm_19	7	Npmsn: ~o, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~o, Npmsl: ~u, Npmsi: ~om	926	Tomislavko~~~Npm, Ljubiško~~~Npm, Boženko~~~Npm, Aladino~~~Npm, Atilijo~~~Npm, Veljanko~~~Npm, Olivo~~~Npm, Amedeo~~~Npm, Romaldo~~~Npm, Sabino~~~Npm
P_hrLex_Npm_20	14	Npmsn: ~ac, Npmsg: ~ca, Npmsd: ~cu, Npmsay: ~ca, Npmsv: ~če, Npmsl: ~cu, Npmsi: ~cem, Npmpn: ~ci, Npmpg: ~aca, Npmpd: ~cima, Npmpa: ~ce, Npmpv: ~ci, Npmpl: ~cima, Npmpi: ~cima	1292	Rakovac~~~Npm, Dolenac~~~Npm, Antinac~~~Npm, Bukovinac~~~Npm, Čukac~~~Npm, Beketinac~~~Npm, Bršadinac~~~Npm, Buđanovac~~~Npm, Namibijac~~~Npm, Knezac~~~Npm
P_hrLex_Npf_3	7	Npfsn: ~Ø, Npfsg: ~Ø, Npfsd: ~Ø, Npfsa: ~Ø, Npfsv: ~Ø, Npfsl: ~Ø, Npfsi: ~Ø	937	Steffi~~~Npf, Keziban~~~Npf, Claudette~~~Npf, Advije~~~Npf, Beatriče~~~Npf, Žani~~~Npf, Triksi~~~Npf, Minjon~~~Npf, Amneris~~~Npf, Noeni~~~Npf
